REF,,SUBJECT ,RESPONSE SENT ,RESULT 
FOI 20/396,01/10/2020,I would like to make a FOI request for any information you may hold in relation to toxicity/teratogenicity testing results for Dicyclomine and Doxylamine in combination (without Pyridoxine).,16/10/2020,Disclosed in part
FOI 20/394,02/10/2020,"Electronic copies of the CTA submission package (e.g. study protocol, investigator brochure) received by MHRA in relation to the Inarigivir Phase 2 clinical study (EudraCT no: 2019-000896-17). All appropriately redacted to remove any personal or data protection material. 2.	Electronic copies of all correspondence received/sent by MHRA in relation to the Inarigivir Phase 2 clinical study (EudraCT no: 2019-000896-17). All appropriately redacted to remove any personal or Data Protection material",29/10/2020,Disclosed in part
FOI 20/397,05/10/2020,1. Where could I find out how many doses of vaccines have been administered during the last decades?  2. Are there any reports published by the MHRA regarding the suspected ADR reports and the subsequent investigations into associated fatal and/or serious outcomes? 3. Is there any way to find out what Yellow Card reports have led to awards paid out by the Vaccine Damage Payment Scheme? Are they any reports published by the Vaccine Damage Payment Scheme Does such a statistic exist for the Yellow Card6. What is the penalty for doctors or medical staff who do not fill out a Yellow Card report following a vaccine-associated adverse event? system? ,02/11/2020,Disclosed in full
FOI 20/399,08/10/2020,"Under the freedom of information act I would like to see all the safety tests you have available for the vaccines on the childhood immunization schedule? Tests-independent from those run by the pharmaceutical companies, of course. Please send me the data at your earliest convenience.",05/11/2020,Disclosed in part
FOI 20/400,08/10/2020,"Teva UK Limited are writing to request a copy of the educational material associated with Perrigo UK Sildenafil 50 mg Pharmacy Product as follows: •	Essential information for the supply of Sildenafil 50 mg Film Coated Tablets (P)
•	Pharmacy Checklist for Sildenafil 50 mg Film Coated Tablets (P)",21/10/2020,Disclosed in full
FOI 20/401,08/10/2020,"I would be grateful for a list of the suspected adverse reaction yellow card scheme reports associated with e-cigarettes or e-liquids from 2019 and from January 1 2020 to October 1 2020, with a breakdown of the symptoms or illness associated with the reported events.",05/11/2020,Disclosed in full
FOI 20/403,10/10/2020,"Dear Sirs thank you for the two reports. However there appears to have been an inspection performed by Andrew Bill in September 2002, see references to previous inspections in the 2003 report by Zoe Nelson. Please could you provide a copy of the missing inspection report please",06/11/2020,Disclosed in part
FOI 20/405,12/10/2020,I would like to see a copy of the latest report of the MHRA for Joint Committee on Vaccination and Immunisation: VACCINE-ASSOCIATED SUSPECTED ADVERSE REACTIONS REPORTED VIA THE YELLOW CARD SCHEME: Adverse reactions to Vaccines. Could you send me a copy?,15/10/2020,Disclosed in full
FOI 20/406,12/10/2020,"Please provide all product licences, including licences of right, granted for Hormone Pregnancy Tests (HPTS), and any related correspondence, to the following companies: •	Roussel for the products Amenorone Forte and Mornone
•	Organon for the product Menstrogene
•	British Schering (later Nicholas Laboratories Ltd) for the product Orasecron
•	Parke Davis for the products Morlutin A and Morlestrin
•	Duncan Flockhart for the products Secrodyl
•	Wallis Manufacturing Chemists Ltd for the products Paralut
•	Marshalls Pharmaceuticals Ltd for the product Pregornot",29/10/2020,Disclosed in part
FOI 20/407,15/10/2020,"Would it be possible to retrieve all correspondences (with attachments) between the MHRA and the manufacturer of the product Engerix-B (at those times SmithKlineBeecham or Smith Kline and French) related to the addition of demyelinating diseases (optic neuritis, multiple sclerosis, transverse myelitis) to the summary of product characteristics (SMPC) I suppose those correspondences occured between 1988 and 1994.  If any other document (pharmacovigilance reports / meeting notes / CCDS / Core Safety Information...) are related to discussions / assesment of MS/ON/TM cases occuring after an HepB vaccination in the late 80's / early 90's (not after 1994), please include those into the current FOI request.",26/10/2020,Not held
FOI 20/409,15/10/2020,The number of whistle blower reports you have received over the last five years broken down by category (i.e the categories you use internally to classify whistle blower reports),11/11/2020,Disclosed in full
FOI 20/410,15/10/2020,Risk Management Plan (RAM),27/10/2020,Disclosed in part
FOI 20/411,16/10/2020,The full protocol for the AstraZeneca Clinical Trial for the COVID-19 vaccine (ADZ1222),28/10/2020,Not held
FOI 20/412,19/10/2020,"On 30th July you enabled an assay called the AbC-19 Rapid Test to receive a CE mark for professional use. 
On what grounds was this test cleared? 
What were the communications you received regarding the test in the period between its submission and clearance? ",22/10/2020,Not held
FOI 20/413,16/10/2020,BAME in Finance,09/11/2020,Disclosed in full
FOI 20/414,19/10/2020,"Gelstix adverse incident reports - Further to our previous request, please can you confirm whether any adverse incident reports been made in respect of this product? Any further information or details would be gratefully received",11/11/2020,Disclosed in full
FOI 20/416,19/10/2020,Can you provide me information on fake drugs that got in to the uk market. including prescription and over the counter drugs.  also ones that got in to the NHS.,11/11/2020,Disclosed in full
FOI 20/417,21/10/2020,Could we get an RMP of any such reclassification application?  ,04/11/2020,Disclosed in full
FOI 20/418,19/10/2020,Could a reports Of the trials and of of the adverse damages reported in clinical trials with all front runner vaccines to be disclosed To be at your earliest convenience,13/11/2020,Not released
FOI 20/419,23/10/2020,"Would it be possible to obtain information on the numbers and quantities of Xanax/alprazolam seized/confiscated/interdicted by the MHRA in each of the following years - 2014, 2015, 2016, 2017, 2018, 2019, 2020 - please?",11/11/2020,Disclosed in part
