ID,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1,Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/6/16,2.5,3067,3,1,2.0,120,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019
3,Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/16,2.5,3067,2,2,1.0,0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
6,Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,4/3/17,13.5,3042,2,1,1.0,290,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
8,Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/5/16,13.5,3042,2,1,1.0,110,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
9,Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/16,13.5,3042,3,1,1.0,0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
10,Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/16,13.5,3042,3,2,2.0,165,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
11,Airport West,180 Parer Rd,3,h,830000,S,Barry,16/4/16,13.5,3042,3,1,2.0,971,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
12,Airport West,174 Parer Rd,2,h,675000,S,Barry,16/7/16,13.5,3042,2,1,1.0,612,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
14,Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,3/9/16,3.3,3206,2,1,0.0,120,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
15,Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/16,3.3,3206,3,2,1.0,132,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
16,Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/2/17,3.3,3206,1,1,0.0,0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
20,Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/7/16,6.4,3078,4,2,3.0,589,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
21,Altona,4 Blyth St,3,h,1120000,S,Barlow,4/3/17,13.8,3018,3,1,2.0,506,120.0,1930.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
22,Altona,1/170 Blyth St,3,u,630000,S,Barlow,6/8/16,13.8,3018,2,1,2.0,311,94.0,1955.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
23,Altona,1/136 Queen St,2,u,580000,S,Barlow,8/10/16,13.8,3018,2,1,1.0,225,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
24,Altona,4/31 Millers Rd,2,u,391000,SP,Greg,11/2/17,13.8,3018,2,1,1.0,0,65.0,1965.0,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301
25,Altona North,1/5 Little St,3,h,720000,VB,Greg,6/8/16,11.1,3025,3,2,1.0,0,130.0,2012.0,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,5132
27,Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/5/16,11.1,3025,3,2,2.0,171,109.0,2012.0,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
29,Armadale,4/769 High St,3,t,1205000,S,Jellis,3/12/16,6.3,3143,3,2,2.0,101,105.0,2000.0,Stonnington,-37.854,145.0135,Southern Metropolitan,4836
32,Armadale,40 New St,2,h,1210000,S,Marshall,12/11/16,6.3,3143,2,1,0.0,249,96.0,1910.0,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
33,Armadale,6/51 Armadale St,2,u,704000,SP,Greg,19/11/16,6.3,3143,2,1,1.0,0,74.0,1969.0,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
34,Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25/2/17,6.3,3143,2,1,1.0,2471,80.0,1970.0,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
35,Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/16,6.3,3143,4,1,2.0,709,251.0,1900.0,Stonnington,-37.8574,145.016,Southern Metropolitan,4836
36,Ascot Vale,9/5 Rothwell St,2,u,467000,SP,Brad,3/12/16,5.9,3032,2,1,1.0,0,62.0,1980.0,Moonee Valley,-37.7761,144.9201,Western Metropolitan,6567
37,Ascot Vale,7 Francis St,3,h,1380000,SP,Nelson,4/3/17,5.9,3032,3,2,2.0,277,174.0,1910.0,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567
38,Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,4/6/16,5.9,3032,3,2,2.0,285,128.0,1900.0,Moonee Valley,-37.775,144.9091,Western Metropolitan,6567
39,Ascot Vale,70 Munro St,3,h,955000,S,Brad,14/5/16,5.9,3032,3,1,1.0,263,117.0,1910.0,Moonee Valley,-37.7753,144.9116,Western Metropolitan,6567
42,Ascot Vale,3/8 Walter St,2,t,865000,SP,Nelson,18/3/17,5.9,3032,2,2,1.0,146,132.0,2015.0,Moonee Valley,-37.7713,144.9038,Western Metropolitan,6567
45,Ascot Vale,44 Walter St,3,h,1381500,S,Barry,25/2/17,5.9,3032,3,2,2.0,416,168.0,1900.0,Moonee Valley,-37.7727,144.9055,Western Metropolitan,6567
46,Ascot Vale,73 Kent St,2,h,760000,PI,Nelson,27/6/16,5.9,3032,2,1,1.0,124,77.0,1900.0,Moonee Valley,-37.7807,144.9285,Western Metropolitan,6567
47,Ascot Vale,5 Doncaster St,4,h,1705000,S,Jellis,30/7/16,5.9,3032,4,2,4.0,598,273.0,2012.0,Moonee Valley,-37.7774,144.9104,Western Metropolitan,6567
48,Ashburton,3/39 Solway St,3,t,2050000,S,Fletchers,3/12/16,11.0,3147,3,3,4.0,310,315.0,2014.0,Boroondara,-37.874,145.0714,Southern Metropolitan,3052
